830048718	,
830048808	,
830048869	,
830049138	,
830049411	,
830049705	,
830049909	,
830049921	,
830050317	,
830050369	,
830050372	,
830050845	,
830050939	,
830050980	,
830051000	,
830051537	,
830051573	,
830051740	,
830051924	,
830052241	,
830052449	,
830054002	,
830054364	,
830054526	,
830055392	,
830055625	,
830055659	,
830055704	,
830055791	,
830055928	,
830055997	,
830056418	,
830056735	,
830057252	,
830057675	,
830057706	,
830057739	,
830057811	,
830058181	,
830058286	,
830058473	,
830058677	,
830058969	,
830059399	,
830059437	,
830059450	,
830059548	,
830059699	,
830059718	,
830059738	,
830060136	,
830060377	,
830060544	,
830060632	,
830060671	,
830060785	,
830060901	,
830061111	,
830061215	,
830062065	,
830062393	,
830062582	,
830063769	,
830063800	,
830064537	,
830064700	,
830064712	,
830064803	,
830064978	,
830065063	,
830065179	,
830065267	,
830065400	,
830066009	,
830066018	,
830066167	,
830066251	,
830066382	,
830066502	,
830066544	,
830066854	,
830067032	,
830067178	,
830067394	,
830067414	,
830067468	,
830067536	,
830067608	,
830068000	,
830068119	,
830068866	,
830069151	,
830069726	,
830070052	,
830070371	,
830071113	,
830071133	,
830071515	,
830071762	,
830071807	,
830071896	,
830072057	,
830072337	,
830072826	,
830073087	,
830073269	,
830073458	,
830073570	,
830073624	,
830074144	,
830074158	,
830074413	,
830074672	,
830075451	,
830075533	,
830075961	,
830075976	,
830076042	,
830076079	,
830076566	,
830076669	,
830076744	,
830077032	,
830077082	,
830077515	,
830077723	,
830077981	,
830078524	,
830078644	,
830079716	,
830079758	,
830080634	,
830080641	,
830080686	,
830080810	,
830080920	,
830081300	,
830081369	,
830081407	,
830081544	,
830081566	,
830081620	,
830081707	,
830083366	,
830083581	,
830083714	,
830084492	,
830084499	,
830084544	,
830085032	,
830085294	,
830085399	,
830085497	,
830086418	,
830087469	,
830087665	,
830087721	,
830088051	,
830088583	,
830089174	,
830089187	,
830089192	,
830089219	,
830089318	,
830089785	,
830090031	,
830090103	,
830090473	,
830091344	,
830091682	,
830091835	,
830091930	,
830092963	,
830093460	,
830093986	,
830094864	,
830095142	,
830095617	,
830095669	,
830096245	,
830096299	,
830096510	,
830096591	,
830096788	,
830097134	,
830097607	,
830097669	,
830097685	,
830097789	,
830097948	,
830098119	,
830098143	,
830098273	,
830099649	,
830099938	,
830100786	,
830100925	,
830101651	,
830102130	,
830102401	,
830102786	,
830103107	,
830103693	,
830104317	,
830104323	,
830104409	,
830104528	,
830104879	,
830105395	,
830105648	,
830105693	,
830106854	,
830106920	,
830107120	,
830107481	,
830107501	,
830107564	,
830107617	,
830107741	,
830108054	,
830108165	,
830108198	,
830108384	,
830108412	,
830108970	,
830109478	,
830109487	,
830109675	,
830109761	,
830109861	,
830110275	,
830110323	,
830110513	,
830110789	,
830111257	,
830111304	,
830111345	,
830111876	,
830112261	,
830112994	,
830113035	,
830113831	,
830113968	,
830114721	,
830115250	,
830115665	,
830116195	,
830116510	,
830116638	,
830116746	,
830117019	,
830117106	,
830117182	,
830118320	,
830118416	,
830119051	,
830119346	,
830119397	,
830119426	,
830119905	,
830120215	,
830120626	,
830120834	,
830120996	,
830121586	,
830121796	,
830122070	,
830122359	,
830122424	,
830122940	,
830123007	,
830123046	,
830123446	,
830123701	,
830124633	,
830124868	,
830124956	,
830125152	,
830125578	,
830126116	,
830126832	,
830127076	,
830127457	,
830127490	,
830127596	,
830127765	,
830128459	,
830129016	,
830129038	,
830129423	,
830129599	,
830129747	,
830129953	,
830131380	,
830131519	,
830131798	,
830132153	,
